Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,TimeDelay,Efficiency
700,15,0.002,0.005,0.0007,3e-05,2,0.002287321,0.001104116,1.840705172,0.920295429,0.813451123,88.43338964
600,15,0.002,0.002,0.001,4e-05,32,0.001844202,0.00054557,1.432498767,0.436811483,0.068000629,93.2092415
900,20,0.001,0.002,0.0007,4e-05,32,0.002529667,0.000746776,1.960275008,0.596983529,0.158745588,91.76657621
900,20,0.005,0.001,0.0007,4e-05,4,0.001411334,0.000473483,1.172230873,0.441557351,0.893443325,1.662059618
400,35,0.005,0.002,0.001,3e-05,2,0.001582485,0.000766203,1.27745225,0.63869129,0.813451123,88.94169449
900,25,0.001,0.005,0.0007,3e-05,2,0.002314786,0.001110011,1.850232568,0.925046747,0.813451123,88.33022326
900,15,0.005,0.002,0.001,3e-05,12,0.001655371,0.000473933,1.258046691,0.402932776,0.212852774,91.9013393
1000,35,0.001,0.002,0.001,4e-05,8,0.001472382,0.000410637,1.17757534,0.386591346,0.351402273,40.73956274
800,35,0.001,0.002,0.0007,3e-05,32,0.002513984,0.000744855,1.955964011,0.595568195,0.158745588,92.14979031
500,25,0.001,0.001,0.0007,4e-05,16,0.002438085,0.000759314,1.979647101,0.627498226,0.374476293,93.82832021
600,15,0.002,0.001,0.001,4e-05,32,0.001844558,0.000545641,1.432817268,0.436825519,0.068000629,93.2099223
1000,30,0.001,0.001,0.001,3e-05,8,0.001472151,0.000410729,1.178135395,0.386604621,0.353627144,39.35005505
1000,35,0.002,0.002,0.0007,3e-05,32,0.002544167,0.000748591,1.965181188,0.598273887,0.158745588,91.39098959
400,20,0.002,0.005,0.001,4e-05,8,0.001445752,0.00040806,1.169527454,0.384343017,0.353627144,91.78629609
900,30,0.001,0.001,0.0007,4e-05,4,0.001415185,0.000474648,1.175417708,0.442278395,0.893443325,1.677606279
600,20,0.005,0.002,0.001,4e-05,32,0.001843947,0.00054555,1.432458255,0.43679765,0.068000629,93.16775748
500,35,0.002,0.005,0.0007,3e-05,2,0.002255782,0.001097857,1.830607127,0.915252862,0.813451123,87.84863694
600,15,0.001,0.002,0.0007,3e-05,8,0.002076308,0.000585473,1.678975643,0.551382205,0.351402273,91.81046303
800,35,0.001,0.005,0.0007,4e-05,32,0.002512899,0.000744718,1.955037575,0.595539695,0.158745588,92.1486625
700,15,0.005,0.001,0.0007,3e-05,8,0.002087936,0.000586658,1.682693678,0.552369906,0.351402273,91.87259638
800,30,0.002,0.001,0.0007,4e-05,16,0.002345144,0.000703189,1.824942002,0.574927858,0.143697039,92.09354391
400,25,0.001,0.002,0.001,3e-05,12,0.001577524,0.000466761,1.241496569,0.397931827,0.212852774,93.60154266
600,30,0.002,0.005,0.0007,4e-05,32,0.002580462,0.000778593,2.046104019,0.624002987,0.068000629,93.2566938
1000,30,0.001,0.005,0.0007,3e-05,12,0.0023122,0.000676896,1.799863544,0.576663298,0.212852774,91.70341367
600,35,0.005,0.005,0.001,4e-05,32,0.00184372,0.000545502,1.432254757,0.436785347,0.068000629,93.16580129
900,15,0.002,0.005,0.0007,3e-05,16,0.002358626,0.000704472,1.827945213,0.576188564,0.143697039,91.71533167
800,15,0.001,0.002,0.0007,4e-05,8,0.002096117,0.00058743,1.684130309,0.553105129,0.351402273,91.9555935
600,20,0.002,0.005,0.001,3e-05,12,0.001615691,0.000469883,1.248554481,0.400194892,0.212852774,92.89300196
800,15,0.005,0.005,0.0007,4e-05,12,0.002288254,0.000673923,1.792039667,0.574402384,0.212852774,92.17294378
700,15,0.001,0.005,0.001,3e-05,32,0.001792663,0.000520714,1.365239093,0.415799798,0.158745588,92.52063307
900,30,0.001,0.001,0.001,4e-05,4,0.000988966,0.000331648,0.821394243,0.30886037,0.893443325,1.155952688
900,40,0.005,0.002,0.001,3e-05,2,0.001647754,0.000776368,1.293402443,0.646645013,0.813451123,88.99899297
600,20,0.002,0.005,0.0007,4e-05,8,0.00207503,0.00058535,1.677945698,0.551283475,0.353627144,91.80056111
900,25,0.001,0.002,0.0007,4e-05,2,0.002309197,0.001107245,1.845619879,0.922739784,0.813451123,88.15262721
700,25,0.005,0.002,0.0007,4e-05,8,0.002086413,0.000586444,1.681331221,0.552243987,0.351402273,91.88617175
600,20,0.005,0.002,0.001,3e-05,4,0.001019644,0.000341222,0.846769448,0.315010973,0.893443325,2.677350585
900,40,0.005,0.002,0.001,3e-05,10,0.001602763,0.000450252,1.232978815,0.399038523,0.5724306,92.2023602
1000,40,0.001,0.002,0.001,4e-05,4,0.000986784,0.000330953,0.819597662,0.308516314,0.893443325,1.012786943
700,30,0.005,0.002,0.0007,3e-05,32,0.002494987,0.000742707,1.950731753,0.594016066,0.158745588,92.48675798
1000,25,0.002,0.001,0.001,4e-05,2,0.001651285,0.000774921,1.29082593,0.645344194,0.813451123,88.44449793
1000,15,0.005,0.002,0.0007,4e-05,32,0.002543229,0.000748516,1.964600267,0.598245748,0.158745588,91.32150481
500,20,0.005,0.002,0.0007,4e-05,10,0.002182719,0.000636402,1.745595743,0.565387429,0.5724306,92.94825714
