Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc_star
1000.0,20.0,0.005,0.005,0.001,4e-05,26.242424242424242
600.0,35.0,0.005,0.002,0.001,4e-05,25.333333333333336
500.0,35.0,0.002,0.005,0.0007,3e-05,16.242424242424242
900.0,40.0,0.005,0.001,0.0007,3e-05,9.575757575757576
500.0,40.0,0.001,0.001,0.001,3e-05,14.424242424242424
900.0,35.0,0.002,0.005,0.0007,3e-05,9.575757575757576
500.0,15.0,0.001,0.002,0.0007,3e-05,14.121212121212121
600.0,20.0,0.001,0.001,0.0007,4e-05,18.363636363636363
400.0,15.0,0.002,0.001,0.0007,4e-05,13.212121212121213
700.0,35.0,0.002,0.002,0.001,3e-05,31.393939393939394
400.0,30.0,0.002,0.002,0.0007,4e-05,13.515151515151516
700.0,20.0,0.001,0.001,0.0007,4e-05,10.787878787878789
500.0,25.0,0.001,0.002,0.001,4e-05,15.030303030303031
900.0,40.0,0.005,0.005,0.0007,3e-05,9.575757575757576
800.0,30.0,0.002,0.005,0.0007,3e-05,9.575757575757576
1000.0,25.0,0.001,0.002,0.001,3e-05,10.181818181818182
700.0,25.0,0.001,0.001,0.0007,3e-05,10.787878787878789
600.0,35.0,0.005,0.002,0.0007,4e-05,32.0
500.0,30.0,0.001,0.005,0.0007,3e-05,17.151515151515152
600.0,30.0,0.001,0.002,0.0007,4e-05,17.151515151515152
700.0,30.0,0.001,0.001,0.0007,3e-05,10.787878787878789
800.0,35.0,0.001,0.005,0.001,3e-05,19.87878787878788
900.0,30.0,0.001,0.001,0.001,3e-05,9.272727272727273
600.0,20.0,0.002,0.005,0.001,3e-05,25.93939393939394
600.0,20.0,0.005,0.002,0.0007,3e-05,32.0
1000.0,20.0,0.005,0.001,0.001,4e-05,10.181818181818182
800.0,40.0,0.002,0.002,0.0007,4e-05,11.393939393939394
1000.0,30.0,0.001,0.002,0.001,3e-05,10.181818181818182
400.0,35.0,0.005,0.005,0.0007,3e-05,16.545454545454547
600.0,25.0,0.005,0.002,0.0007,4e-05,32.0
800.0,40.0,0.005,0.002,0.0007,3e-05,9.575757575757576
600.0,25.0,0.001,0.001,0.001,3e-05,15.333333333333334
1000.0,35.0,0.005,0.001,0.001,4e-05,10.181818181818182
900.0,15.0,0.001,0.005,0.0007,4e-05,9.575757575757576
1000.0,20.0,0.005,0.002,0.0007,4e-05,9.878787878787879
1000.0,30.0,0.002,0.005,0.001,3e-05,25.03030303030303
400.0,25.0,0.002,0.002,0.0007,4e-05,13.515151515151516
900.0,15.0,0.002,0.002,0.001,3e-05,8.969696969696969
700.0,25.0,0.005,0.005,0.001,4e-05,20.484848484848484
600.0,35.0,0.005,0.005,0.001,3e-05,23.515151515151516
900.0,30.0,0.002,0.001,0.001,4e-05,9.272727272727273
500.0,25.0,0.002,0.005,0.001,3e-05,15.030303030303031
500.0,15.0,0.005,0.001,0.001,3e-05,15.93939393939394
1000.0,20.0,0.002,0.001,0.0007,4e-05,10.787878787878789
400.0,25.0,0.002,0.002,0.001,4e-05,32.0
800.0,35.0,0.005,0.002,0.001,3e-05,8.363636363636363
600.0,15.0,0.002,0.005,0.001,4e-05,25.93939393939394
400.0,20.0,0.001,0.005,0.0007,3e-05,14.121212121212121
600.0,30.0,0.001,0.001,0.001,3e-05,15.333333333333334
500.0,30.0,0.005,0.005,0.0007,4e-05,17.454545454545453
900.0,25.0,0.002,0.001,0.0007,4e-05,9.575757575757576
900.0,35.0,0.002,0.001,0.001,3e-05,9.272727272727273
400.0,40.0,0.002,0.001,0.0007,3e-05,13.212121212121213
900.0,20.0,0.001,0.002,0.0007,4e-05,9.575757575757576
900.0,25.0,0.002,0.001,0.001,4e-05,9.272727272727273
700.0,25.0,0.001,0.002,0.0007,4e-05,11.393939393939394
1000.0,20.0,0.001,0.005,0.001,4e-05,25.03030303030303
1000.0,25.0,0.001,0.001,0.001,3e-05,10.181818181818182
