Irradiance,AmbientTemp,rload,cload,fc,f_samp,Inductor,Capacitor,Vpv_avg,Ipv_avg,DutyCycleActual,Vout_avg,Iout_avg,P_out,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,dV,dP,Efficiency,P_in,Pmpp,TimeDelay,k_sc
1000,15,0.001,0.005,5000,20000,0.001,4e-05,34.30823918,0.253339024,0.28358209,11.89208638,-0.333223672,2.540494132,0.000991266,0.000332289,0.823309259,0.309414814,-1.41e-05,0.002356749,1.025656253,247.6945005,255.3747081,0.893443325,4
1000,15,0.001,0.005,5000,40000,0.0007,3e-05,34.00963046,2.158481415,0.36159601,12.03279238,-5.616050661,67.085605,0.002078457,0.000586454,1.682439744,0.552348662,-0.000229308,0.007078684,41.44813258,161.8543486,234.5782819,0.351402273,8
1000,15,0.001,0.005,5000,40000,0.0007,4e-05,34.00963047,2.15848136,0.36159601,12.03279233,-5.616051109,67.08504672,0.002077754,0.000586385,1.681854029,0.552307023,-0.000229308,0.007078684,41.44778694,161.8543514,234.5782828,0.351402273,8
1000,15,0.001,0.005,5000,40000,0.001,3e-05,34.01013817,2.155778601,0.36159601,12.03312752,-5.629262262,67.39310105,0.001473288,0.000410679,1.177868921,0.386623289,-0.000231366,0.006828076,41.6034484,161.9892188,234.6156717,0.351402273,8
1000,15,0.001,0.005,5000,40000,0.001,4e-05,34.01013817,2.155778601,0.36159601,12.03312748,-5.629262585,67.39271037,0.001472795,0.000410631,1.177458637,0.386594159,-0.000231366,0.006828076,41.60320723,161.9892188,234.6156717,0.351402273,8
1000,15,0.001,0.005,5000,50000,0.0007,3e-05,32.88119663,4.875003812,0.381237525,12.17468035,-12.11154636,147.4622775,0.002245137,0.000643182,1.763533678,0.570937838,-0.000833167,0.032981223,91.99432759,160.2949675,160.4888474,0.5724306,10
1000,15,0.001,0.005,5000,50000,0.0007,4e-05,32.88119661,4.875003831,0.381237525,12.17468031,-12.11154661,147.4618639,0.002244471,0.000643106,1.762979275,0.570914272,-0.000833167,0.032981223,91.99406927,160.294968,160.4888479,0.5724306,10
1000,15,0.001,0.005,5000,50000,0.001,3e-05,32.88193682,4.874198206,0.381237525,12.17488403,-12.12132091,147.5806138,0.00161056,0.000450952,1.234514268,0.399642827,-0.000835353,0.032727979,92.08129712,160.2720839,160.4503683,0.5724306,10
1000,15,0.001,0.005,5000,50000,0.001,4e-05,32.88193682,4.874198201,0.381237525,12.174884,-12.1213209,147.580322,0.001610094,0.000450899,1.234125867,0.399626343,-0.000835353,0.032727978,92.08111516,160.2720838,160.4503682,0.5724306,10
1000,15,0.001,0.005,5000,60000,0.0007,3e-05,31.86520546,5.85691013,0.400998336,12.21334412,-13.99606336,171.1465991,0.0023122,0.000676896,1.799863544,0.576663298,-0.001032763,0.026750288,91.70341367,186.6305651,187.033208,0.212852774,12
1000,15,0.001,0.005,5000,60000,0.0007,4e-05,31.86520545,5.856910133,0.400998336,12.21334408,-13.99606356,171.1462747,0.002311559,0.000676824,1.799329516,0.576647952,-0.001032763,0.026750288,91.70323979,186.6305652,187.0332081,0.212852774,12
1000,15,0.001,0.005,5000,60000,0.001,3e-05,31.86581012,5.856401119,0.400998336,12.21345395,-14.00266708,171.165849,0.001664474,0.000474801,1.25992306,0.403653617,-0.00103471,0.026722141,91.71995959,186.6178853,187.0106047,0.212852774,12
1000,15,0.001,0.005,5000,60000,0.001,4e-05,31.86581009,5.856401141,0.400998336,12.21345393,-14.0026672,171.1656214,0.001664025,0.000474751,1.259548908,0.403642883,-0.00103471,0.026722141,91.71983734,186.6178859,187.0106053,0.212852774,12
1000,15,0.001,0.005,5000,80000,0.0007,3e-05,30.57326995,6.74138077,0.420724095,12.23964056,-15.36229059,188.3537271,0.002371761,0.000706191,1.832077811,0.577446477,-0.001229688,0.014079267,91.38720528,206.1051397,206.3357816,0.143697039,16
1000,15,0.001,0.005,5000,80000,0.0007,4e-05,30.57326995,6.741380772,0.420724095,12.23964054,-15.36229059,188.3535017,0.00237115,0.00070613,1.831568464,0.577438287,-0.001229688,0.014079267,91.3870959,206.1051397,206.3357816,0.143697039,16
1000,15,0.001,0.005,5000,80000,0.001,3e-05,30.57380886,6.741093015,0.420724095,12.23969141,-15.36607798,188.3030568,0.001712342,0.000495665,1.282437076,0.404205471,-0.001231239,0.014066029,91.36491018,206.0999747,206.3256688,0.143697039,16
1000,15,0.001,0.005,5000,80000,0.001,4e-05,30.57380889,6.741093,0.420724095,12.23969139,-15.36607794,188.302898,0.001711913,0.000495622,1.282080189,0.404199742,-0.001231239,0.014066029,91.36483327,206.0999744,206.3256686,0.143697039,16
1000,15,0.001,0.005,5000,160000,0.0007,3e-05,30.5733889,6.741303756,0.425359151,12.23998141,-15.37054169,188.4061389,0.00254372,0.000748492,1.964710502,0.598255347,-0.001329536,0.011374219,91.41336897,206.1034847,206.0434107,0.158745588,32
1000,15,0.001,0.005,5000,160000,0.0007,4e-05,30.57338894,6.741303735,0.425359151,12.23998139,-15.37054157,188.4060157,0.002543109,0.000748452,1.964201718,0.598252932,-0.001329536,0.011374219,91.41330935,206.1034843,206.0434103,0.158745588,32
1000,15,0.001,0.005,5000,160000,0.001,3e-05,30.5738372,6.74106451,0.425359151,12.23998361,-15.37189174,188.3412804,0.001836573,0.000525245,1.375354501,0.418774748,-0.001329445,0.011406935,91.38380314,206.0991925,206.0364972,0.158745588,32
1000,15,0.001,0.005,5000,160000,0.001,4e-05,30.57383713,6.741064548,0.425359151,12.2399836,-15.37189171,188.3411946,0.001836144,0.000525217,1.374997959,0.418773054,-0.001329445,0.011406934,91.38376124,206.0991932,206.0364979,0.158745588,32
1000,15,0.002,0.001,5000,10000,0.0007,3e-05,26.98902968,7.645109236,0.257425743,12.22300658,-14.78404633,180.7612846,0.002312102,0.001105444,1.842491936,0.921162935,-0.00813246,-0.081090237,87.59994839,206.34862,206.267485,0.813451123,2
1000,15,0.002,0.001,5000,10000,0.0007,4e-05,26.98902975,7.64510923,0.257425743,12.22300662,-14.7840505,180.7613223,0.002311573,0.00110518,1.84205058,0.920942269,-0.00813246,-0.081090238,87.5999665,206.3486204,206.2674854,0.813451123,2
1000,15,0.002,0.001,5000,10000,0.001,3e-05,26.9983936,7.644404124,0.257425743,12.22592604,-14.92824875,182.5503111,0.001651656,0.000775106,1.291135216,0.64549883,-0.008063156,-0.080509561,88.44448626,206.4010079,206.3204535,0.813451123,2
1000,15,0.002,0.001,5000,10000,0.001,4e-05,26.99839363,7.644404121,0.257425743,12.22592607,-14.92825149,182.5503353,0.001651285,0.000774921,1.29082593,0.645344194,-0.008063156,-0.080509562,88.44449793,206.4010081,206.3204536,0.813451123,2
1000,15,0.002,0.001,5000,20000,0.0007,3e-05,34.15664358,0.338858774,0.28358209,11.89545504,-0.464238029,3.512974147,0.001400929,0.000470395,1.163629688,0.439702468,-9.26e-05,0.010760251,1.432280333,245.2714085,256.7050799,0.893443325,4
1000,15,0.002,0.001,5000,20000,0.0007,4e-05,34.15664358,0.338858771,0.28358209,11.89545575,-0.464264105,3.513671826,0.001400426,0.000470236,1.163210325,0.439514176,-9.26e-05,0.010760251,1.432564784,245.2714086,256.7050799,0.893443325,4
1000,15,0.002,0.001,5000,20000,0.001,3e-05,34.17190565,0.251286027,0.28358209,11.89196057,-0.325042216,2.461206374,0.000978933,0.000328643,0.813098697,0.307027186,-6.13e-05,0.00999651,0.989491424,248.7344828,257.1901509,0.893443325,4
1000,15,0.002,0.001,5000,20000,0.001,4e-05,34.17190565,0.251286025,0.28358209,11.89196105,-0.325060077,2.461689,0.000978581,0.000328532,0.812805341,0.306895537,-6.13e-05,0.00999651,0.989685456,248.7344828,257.1901509,0.893443325,4
1000,15,0.002,0.001,5000,40000,0.0007,3e-05,33.98924842,2.07823263,0.3625,12.02734979,-5.400742297,64.4680648,0.002076947,0.000586473,1.682733551,0.552295119,-0.001122228,0.033572526,38.59650372,167.0308411,236.5813671,0.353627144,8
1000,15,0.002,0.001,5000,40000,0.0007,4e-05,33.98924843,2.078232621,0.3625,12.02734974,-5.400742838,64.46750706,0.002076245,0.000586403,1.68214913,0.552253424,-0.001122228,0.033572526,38.59616971,167.0308415,236.5813673,0.353627144,8
1000,15,0.002,0.001,5000,40000,0.001,3e-05,33.99041878,2.072213859,0.36159601,12.02752795,-5.405347629,64.67024151,0.00147152,0.000410643,1.178019274,0.386576098,-0.001129025,0.032157275,38.65077966,167.3193713,236.6414679,0.351402273,8
1000,15,0.002,0.001,5000,40000,0.001,4e-05,33.99041879,2.072213842,0.36159601,12.02752792,-5.405347979,64.66985078,0.001471028,0.000410595,1.177609883,0.386546929,-0.001129025,0.032157275,38.65054593,167.3193721,236.6414681,0.351402273,8
1000,15,0.002,0.001,5000,50000,0.0007,3e-05,32.89085228,4.861313801,0.381237525,12.17406766,-12.07622064,147.0303297,0.002247711,0.000643881,1.765914861,0.571108521,-0.004193636,0.153022088,91.96951716,159.8685459,160.6772053,0.5724306,10
1000,15,0.002,0.001,5000,50000,0.0007,4e-05,32.89085226,4.861313821,0.381237525,12.17406762,-12.07622099,147.0299188,0.002247049,0.000643805,1.765363434,0.57108481,-0.004193636,0.153022087,91.9692598,159.8685464,160.6772059,0.5724306,10
1000,15,0.002,0.001,5000,50000,0.001,3e-05,32.89299148,4.85897877,0.381237525,12.17420494,-12.08291821,147.1086958,0.00161222,0.000451425,1.236155186,0.399753837,-0.00420212,0.152449852,92.05679558,159.8021036,160.5496126,0.5724306,10
1000,15,0.002,0.001,5000,50000,0.001,4e-05,32.89299144,4.85897881,0.381237525,12.17420491,-12.08291844,147.1084081,0.001611756,0.000451372,1.235768848,0.399737249,-0.00420212,0.152449851,92.05661486,159.8021047,160.5496138,0.5724306,10
1000,15,0.002,0.001,5000,60000,0.0007,3e-05,31.87398822,5.845127529,0.400998336,12.21284956,-13.9658498,170.7755811,0.002314993,0.000677733,1.802401635,0.576813075,-0.005194562,0.121698338,91.6763989,186.2808565,187.7819183,0.212852774,12
1000,15,0.002,0.001,5000,60000,0.0007,4e-05,31.87398821,5.845127535,0.400998336,12.21284952,-13.96585004,170.7752599,0.002314357,0.000677661,1.801871364,0.576797602,-0.005194562,0.121698337,91.6762264,186.2808567,187.7819185,0.212852774,12
1000,15,0.002,0.001,5000,60000,0.001,3e-05,31.8761801,5.843276694,0.400998336,12.21292783,-13.97013875,170.7646041,0.001666304,0.000475368,1.261678587,0.40374979,-0.005201997,0.121921694,91.69325295,186.234645,187.699261,0.212852774,12
